ogc_fid,objectid,pid,Folio,true_site_addr,true_site_unit,true_site_city,true_site_zip_code,true_mailing_addr1,true_mailing_addr2,true_mailing_addr3,true_mailing_city,true_mailing_state,true_mailing_zip_code,true_mailing_country,Ownership,true_owner1,true_owner2,true_owner3,Owner Categories,condo_flag,parent_folio,dor_code_cur,dor_desc,subdivision,bedroom_count,bathroom_count,half_bathroom_count,floor_count,unit_count,building_actual_area,building_heated_area,lot_size,year_built,assessment_year_cur,assessed_val_cur,dos_1,price_1,legal,Field2,Unnamed: 40,camp_ownership,camp_categories,exclude
492182,492182,284165,3079020000040,,,Unincorporated County,33033-0000,111 NW 1 ST STE 2460,,,MIAMI,FL,33128-1929,,Miami-Dade County,MIAMI DADE COUNTY,GSA - R/E MGMT,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,307902000.0,0,0,0,0,0,0,0,1293732.0,0,2020,1930500,20040801.0,0.0,2 57 39 29.70 AC N550FT OF E1150FT OF NE1/4 LESS RD & E907.3FT OF NE1/4 OF NE1/4 LESS N550FT COC 22889-2535 08 2004 3,2,,Miami-Dade County,Governmental,
250499,250499,472788,3030350000072,,,Unincorporated County,33126-0000,PO BOX 526624,,,MIAMI,FL,33152-6624,,Miami-Dade County,MIAMI-DADE COUNTY,AVIATION DEPARTMENT - FINANCE,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,303035000.0,0,0,0,0,0,0,0,1282580.0,0,2020,14813799,,,35 53 40 29.444 AC M/L BEG 35FT E OF W1/4 COR TH E 1945.74FT S659.47FT W1945.74FT N659.37FT TO POB LOT SIZE 1282580 SQ FT CF 75R-215642,2,,Miami-Dade County,Governmental,
407203,407203,597097,3058360030010,17300 SW 177 AVE,,Unincorporated County,33187-1614,7600 SW 104 ST,,,MIAMI,FL,33156,,Religious Organization,MANFRED MEMORIAL FOUNDATION INC,% REVEREND GEORGE KELSEY,,Institutional,N,,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,305836003.0,0,0,0,0,0,0,0,1168248.71,0,2020,843346,,,36 55 38 26.819 AC INLIKITA TRACTS PB 68-13 TRACK B LESS N25FT & W35FT & LESS PORT LYG IN R/W AS DESC IN OR 30390-551 OR 10581-2384 097 95,2,,Religious Organization,Institutional,
250323,250323,323290,3030260000012,,,Unincorporated County,,PO BOX 526624,,,MIAMI,FL,33152-6624,,Miami-Dade County,MIAMI-DADE COUNTY,AVIATION DEPARTMENT - FINANCE,,Governmental,N,,4066,VACANT LAND - INDUSTRIAL : EXTRA FEA OTHER THAN PARKING,303026000.0,0,0,0,0,0,0,0,1167368.0,0,2020,12910902,,,26 53 40 26.80 AC BEG 50FTE & 2322.52FTS OF NW COR OF SW1/4 OF NE1/4 E1169.62FT S1000.23FT W1165FT N1000.23FT TO POB A/K/A PT OF COUNTY STOCKADE,2,,Miami-Dade County,Governmental,
391321,391321,550941,3050210000480,,,Unincorporated County,33176-0000,3900 COMMONWEALTH BLVD #412,,,TALLAHASSEE,FL,32303,,State of Florida,TRS II FUND,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,305021000.0,0,0,0,0,0,0,0,1135434.96,0,2020,5677175,,,21 55 40 26.066 AC M/L BEG 716.08FTN & 35FTE OF SW COR OF SE1/4 TH N 02 DEG W 1888.50FT NLY-NELY & ELY AD 39.63FT N 88 DEG E 838.20FT ELY-SELY & SLY AD 39.27FT S 01 DEG E 332.65FT S 22 DEG W 1731.26FT S 88 DEG W 128.37FT WLY & NLY AD 39.01FT TO POB OR 17919-0222 1097 3,2,,State of Florida,Governmental,
234916,234916,372829,3021340000370,10500 NW 17 AVE,,Unincorporated County,33147-0000,10050 NE 2 AVE,,,MIAMI SHORES,FL,33138-2304,,Village of Miami Shores,MIAMI SHORES VILLAGE,CITY HALL,,Governmental,N,,8940,MUNICIPAL : MUNICIPAL,302134000.0,0,1,0,1,0,23089,21853,1089309.0,1959,2020,2892282,,,34 52 41 25.0071 AC SE1/4 OF SE1/4 LYG NE OF LITTLE RIVER CANAL LESS PART PLATTED AS PER PB 44-38 LESS S35FT & LESS LITTLE RIVER CAN R/W & LESS W50FT OF E90FT OF N25FT & EXT AREA OF CURVE IN NE COR FOR R/W,1,,Village of Miami Shores,Governmental,
492181,492181,599857,3079020000023,,,Unincorporated County,,29050 CORAL SEA BLVD BLDG 360,,,MIAMI,FL,33039,USA,Federal,USA,USA AIR FORCE RESERVE,HOMESTEAD AIR RESERVE BASE,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,,0,0,0,0,0,0,0,1030455.36,0,2020,910756,20170831.0,0.0,2 57 39 23.656 AC M/L PORT IN NE1/4 SEC 2 DESC AS COMM AT SE COR OF NE1/4 OF SEC 2 TH N 00 DEG W 13.85FT S 89 DEG W 50FT N 00 DEG W 23.06FT FOR POB TH S 89 DEG W 16.1916FT N 41 DEG W 42.98FT N 53 DEG E 135.96FT NELY AD 317.28FT N 28 DEG E 198.88FT NELY AD 820.45FT N 89 DEG E 173.42FT NELY AD 164.93FT S 00 DEG E 1105.55FT TO POB LOT SIZE 1030453 SQ FT M/L F/A/U 30 7902 000 0021/0022/00210,2,,Federal,Governmental,
428494,428494,430376,3059130000041,,,Unincorporated County,33186-0000,3900 COMMONWEALTH BLVD,MAIL STATION 115,,TALLAHASSEE,FL,32399,,State of Florida,TRS II FUND,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,305913000.0,0,0,0,0,0,0,0,1001860.0,0,2020,5667270,19940901.0,0.0,13 53 29 23 AC M/L BEG 1140FTE OF SW COR OF SEC N1097.87FT E1625.25FT SWLY ALG SAL R/W TO X WITH S/L OF SEC W655.64FT TO POB LESS PORT LYG IN SW 122 AVE & SW 136 ST R/W & LESS BEG 1140.02FTE & 40FTN OF SW COR OF SEC TH E276.20FT NELY & NLY AD 39.27FT N134.58FT NELY AD 199.75FT W329.27FT S356.52FT TO POB & LESS COMM SW COR OF SEC TH E1140.02FT N666.29FT E975.19FT FOR POB TH N 38 DEG E 594.45FT W241.19FT S 38 DEG W 230.86FT SWLY AD 298.67FT TO A PT OF R/C CONT SWLY AD 55.06FT S 78 DEG E 298.44FT TO POB & THAT PORT OF SW 122 AVE LYG E & W & ADJ CLOSED PER R-640-11,2,,State of Florida,Governmental,
316416,316416,276731,3040310000070,11175 SW 80 ST,,Unincorporated County,33173-0000,275 NW 2 ST 4TH FL,,,MIAMI,FL,33128,USA,Miami-Dade County,MIAMI DADE COUNTY,PARKS & OPEN SPACES DEPT,,Governmental,N,,8065,VACANT GOVERNMENTAL : PARKING LOT,304031000.0,0,0,0,0,0,0,0,917373.6,0,2020,5272653,20140819.0,7450000.0,31 54 40 21.06 AC E1/2 OF NE1/4 OF NW1/4 OF SW1/4 & S3/4 OF NE1/4 OF SW1/4 INCLUDES PT OF SW 113 AVE CLO BY RES 7321 LESS S456.27FT OF NE1/4 OF SW1/4 & LESS W25FT OF SW1/4 OF NE1/4 OF SW1/4 FOR R/W,2,,Miami-Dade County,Governmental,
454182,454182,357367,3060180000610,,,Unincorporated County,33170-0000,1450 NE 2 AVE,,,MIAMI,FL,33132-1308,,School Board,SCHOOL BOARD OF MIAMI-DADE COUNTY,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,306018000.0,0,0,0,0,0,0,0,871200.0,0,2020,1705000,,,18 56 40 20 AC W1/2 OF NW1/4 OF SW1/4 LOT SIZE IRREGULAR,2,,School Board,Governmental,
513474,513474,366337,3220240110101,,,Miami Lakes,33014-0000,PO BOX 526624,,,MIAMI,FL,33152-6624,,Miami-Dade County,MIAMI-DADE COUNTY,AVIATION DEPARTMENT - FINANCE,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,322024011.0,0,0,0,0,0,0,0,802811.0,0,2020,1284498,19711101.0,512800.0,24 52 40 18.43 AC M/L MIAMI LAKES IND PARK SEC 3 PB 85-62 PT TRS P & Q - BEG NE COR TR Q SLY476.7FT WLY1745.48FT NLY499.73FT TO N/L TR P TH ELY ALG S/L CANAL C-8 FOR 1759.83FT TO POB LOT SIZE 802811 SQUARE FEET F/A/U 30-2024-011-0101,2,,Miami-Dade County,Governmental,
435731,435731,496753,3059220710020,14100 SW 144 AVE,,Unincorporated County,33186-0000,14100 SW 144 AVE,,,MIAMI,FL,33186-1025,,Religious Organization,MINISTERIO INTERNATIONAL EL REY,JESUS INC,,Institutional,N,,2865,PARKING LOT/MOBILE HOME PARK : PARKING LOT,305922071.0,0,0,0,0,0,0,0,764143.0,0,2020,7896484,,,REY JESUS PB 165-032 T-21318 TR B LOT SIZE 764143 SQ FT M/L FAU 30 5922 050 0010-0480,1,,Religious Organization,Institutional,
232586,232586,291330,3021270000140,12701 NW 22 AVE,,Unincorporated County,33167-1428,1450 NE 2 AVE,,,MIAMI,FL,33132-1308,,School Board,SCHOOL BOARD OF MIAMI-DADE COUNTY,,,Governmental,N,,8348,BOARD OF PUBLIC INSTRUCTION : BOARD OF PUBLIC INSTRUCTION,302127000.0,0,0,0,1,0,140261,140261,748360.0,1956,2020,19310822,,,27 52 41 17.18 AC S1/2 OF SW1/4 OF NE1/4 LESS E25FT W50FT & S35FT & N25FT & LESS R/W PR ADD 12801 NW 22 AVE LOT SIZE 748360 SQUARE FEET,1,,School Board,Governmental,
492179,492179,599859,3079020000021,,,Unincorporated County,33033-0000,111 NW 1 ST STE 2460,,,MIAMI,FL,33128-1929,,Miami-Dade County,MIAMI DADE COUNTY,GSA - R/E MGMT,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,307902000.0,0,0,0,0,0,0,0,738908.28,0,2020,1102595,20040801.0,0.0,2 57 39 38 16.963 AC M/L SE1/4 OF NE1/4 LESS W150FT OF E 200FT OF S250FT & LESS S60FT LYG W OF E200FT & LESS PORT DESC IN OR 30677-3210 OR 22889-2535 0804 3,2,,Miami-Dade County,Governmental,
438635,438635,620435,3059260170120,15601 SW 127 AVE,,Unincorporated County,,PO BOX 248106,,,MIAMI,FL,33124,USA,University of Miami,UNIVERSITY OF MIAMI,UM REAL ESTATE OFFICE,,Institutional,N,,8066,VACANT GOVERNMENTAL : EXTRA FEA OTHER THAN PARKING,305926017.0,0,0,0,0,0,0,0,673835.0,0,2020,6738350,,,CORAL REEF COMMONS PB 173-093 T-23293 TR L LOT SIZE 673835 SQ FT M/L FAU 30 5925 000 0015,2,,University of Miami,Institutional,
206362,206362,529872,3012310000012,,,Unincorporated County,33179-0000,33 SW 2 AVE,,,MIAMI,FL,33130-1501,,Miami-Dade County,MIAMI DADE COUNTY,DERM-EEL,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,301231000.0,0,0,0,0,0,0,0,654428.0,0,2020,3271106,,,31 51 42 15.02 AC BEG AT NW COR TR A OF PB 102-70 TH S 03 DEG W 1184.54FT N 87 DEG W 960.05FT NLY AD 138.89FT N 2 DEG E 409.15FT S 87 DEG E 775.46FT N 02 DEG E 637.98FT S 87 DEG E 195.31FT TO POB,2,,Miami-Dade County,Governmental,
322018,322018,523442,3040350520010,,,Unincorporated County,33143-0000,624 ANASTASIA AVE,,,CORAL GABLES,FL,33134,,Religious Organization,UNIVERSITY BAPTIST CHURCH OF,CORAL GABLES INC,,Institutional,N,,7081,VACANT LAND - INSTITUTIONAL : VACANT LAND,304035052.0,0,0,0,0,0,0,0,625521.6,0,2020,4593341,,,UNIVERSITY BAPTIST CHURCH PB 167-086 T-21849 TR A LOT SIZE 19.432 AC FAU 30 4035 000 0410 & 035 0010 THRU 0180,2,,Religious Organization,Institutional,
482303,482303,521014,3069290000130,25001 SW 167 AVE,,Unincorporated County,33031-1907,25001 SW 167 AVE,,,HOMESTEAD,FL,33031,USA,Religious Organization,CAMP FREEDOM INC,,,Institutional,N,,7144,RELIGIOUS - EXEMPT : RELIGIOUS,306929000.0,4,3,0,1,2,8542,8542,624650.4,1956,2020,907415,20130818.0,100.0,29 56 39 14.34 AC S3/4 OF W1/2 OF NW1/4 OF NW1/4 LESS RDS PR ADD 25001 SW 167 AVE OR 16850-3144 0695 5,1,,Religious Organization,Institutional,
523878,523878,536394,3411330030010,,,Miami Gardens,33056-0000,701 NW 1 CT STE 1700,,,MIAMI,FL,33136-3902,,Miami-Dade County,MIAMI-DADE COUNTY,MIAMI-DADE TRANSIT,,Governmental,N,,8047,VACANT GOVERNMENTAL : DADE COUNTY,341133003.0,0,0,0,0,0,0,0,603741.19,0,2020,594792,20101117.0,0.0,33 51 41 13.86 AC SUB OF PART OF PB 2-75 TRACTS 1 & 2 LESS E200FT OF W325FT OF TR 2 & LESS N25FT OF W125FT OF TR 2 & LESS BEG 175FTW & 20FTS OF NE COR OF SEC TH CONT S 01 DEG E 512.41FT S 88 DEG W 1.00FT N 01 DEG W 99.76FT N 05 DEG W 200.36FT N 01 DEG W 100.24FT N 86 DEG W 82.01FT N 89 DEG W 379.11FT N 83 DEG W 352.02FT N 01 DEG W 11.93FT N 87 DEG E 90.00FT S 01 DEG E 15.00FT N 87 DEG E 100.00FT N 01 DEG W 15.00FT N 87 DEG E 630.03FT TO POB OR 13156-0299 1286 4 F/A/U 30-1133-003-0010,2,,Miami-Dade County,Governmental,
260927,260927,240023,3031100620030,7200 NW 22 AVE,,Unincorporated County,33147-6222,701 NW 1 CT,16TH FLOOR,,MIAMI,FL,33136,USA,Miami-Dade County,MIAMI-DADE COUNTY,MIAMI-DADE HOUSING AGENCY,,Governmental,N,,8940,MUNICIPAL : MUNICIPAL,303110062.0,0,0,0,1,0,27181,27181,600022.0,1950,2020,4525447,,,10 53 41 13.77 AC M/L PUBLIC HOUSING PROJECT FLORIDA 5-4 PB 57-48 TR 4 & PORT OF NW 71 ST DESC BEG 50FTW & 140.47FTN OF SE COR OF SW1/4 TH W65FT N50FT E65FT S50FT TO POB CLOSED PER 83R-7,1,,Miami-Dade County,Governmental,
438636,438636,620439,3059260170130,,,Unincorporated County,,PO BOX 248106,,,MIAMI,FL,33124,USA,University of Miami,UNIVERSITY OF MIAMI,UM REAL ESTATE OFFICE,,Institutional,N,,8066,VACANT GOVERNMENTAL : EXTRA FEA OTHER THAN PARKING,305926017.0,0,0,0,0,0,0,0,585159.0,0,2020,4681272,,,CORAL REEF COMMONS PB 173-093 T-23293 TR M LOT SIZE 585159 SQ FT M/L FAU 30 5925 000 0015,2,,University of Miami,Institutional,
523875,523875,388370,3411330010010,20201 NW 37 AVE,,Miami Gardens,33056-1755,701 NW I CT 16TH FL,,,MIAMI,FL,33136,USA,Miami-Dade County,MIAMI-DADE COUNTY,PUBLIC HOUSING COMMUNITY DEPT,,Governmental,N,,8647,COUNTY : DADE COUNTY,341133001.0,3,2,0,1,1,14226,14226,531868.0,1940,2020,4590187,19930601.0,887500.0,33 51 41 12.21 AC M/L HARWOOD ACRES PB 52-83 ALL UNNUMBERED TRACT LESS BEG 975.48FTN & 1004FTE OF SW COR OF SEC TH N536.3FT M/L E TO E/L PB 52-83 S536.3FT M/L W TO POB OR 21664-3116 0603 3 F/A/U 30-1133-001-0010,1,,Miami-Dade County,Governmental,
451066,451066,265390,3060050600060,,,Unincorporated County,33157-0000,3071 SW 38 AVE,,,MIAMI,FL,33146-1520,,Miami-Dade County,MIAMI-DADE COUNTY,WATER AND SEWER,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,306005060.0,0,0,0,0,0,0,0,523225.0,0,2020,5064818,,,LENNAR INDUSTRIAL CENTER SEC 1 PB 115-16 LOTS 6 & 7 BLK 1 LOT SIZE 523225 SQ FT OR 21526-1394 0803 3,2,,Miami-Dade County,Governmental,
549278,549278,468996,3421170010011,,,Miami Gardens,33054-0000,1450 NE 2 AVE,,,MIAMI,FL,33132-1308,,School Board,SCHOOL BOARD OF MIAMI-DADE COUNTY,,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,342117001.0,0,0,0,0,0,0,0,517492.8,0,2020,1247822,,,17 52 41 11.88 AC MIAMI GARDENS PB 2-96 ALL OF TRS 41 & 42 & PART OF THE FOLLOWING-TRS 43 & 54 & 55 & 56 - BEG 190FTS OF NE COR TR 41 S760FT W680.53FT N760FT E680.53FT TO POB LESS E35FT FOR R/W LOT SIZE IRREGULAR F/A/U 30-2117-001-0011,2,,School Board,Governmental,
455215,455215,290617,3060180252100,,,Unincorporated County,33170-0000,3900 COMMONWEALTH BLVD #412,,,TALLAHASSEE,FL,32399,USA,State of Florida,TRS OF II FUND,,,Governmental,N,,8099,VACANT GOVERNMENTAL : STATE,306018025.0,0,0,0,0,0,0,0,512701.2,0,2020,58850,,,HARDIN HAMMOCK ESTATES PB 150-65 T-19115 TR J LOT SIZE 11.77 AC M/L & INT IN COMMON AREAS OR 19670-0863 0501 3,2,,State of Florida,Governmental,
291250,291250,617040,3040140000073,,,Unincorporated County,,275 NW 2 ST 4TH FL,,,MIAMI,FL,33128,USA,Miami-Dade County,MIAMI DADE COUNTY,PARKS AND RECREATION,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,304014000.0,0,0,0,0,0,0,0,486141.0,0,2020,486141,20181221.0,100.0,14 54 40 11.16 AC M/L 100FT FEC R/W LYG IN E1/2 OF SEC 14 LESS COMM AT X OF SW 72 AVE & SW 40 ST BEING S1/4 OF SEC 14 TH N 87 DEG E 1183.97FT N 01 DEG W 16FT S 87 DEG W 30FT N 01 DEG W 34F FOR POB CONT N 01 DEG W 255.02FT N 88 DEG E 100FT S 01 DEG E 253.83FT S 87 DEG W 100.01FT TO POB & LESS BEG 50.02FT OF NE COR OF NW1/4 OF NE1/4 OF SEC 14 FOR POB CONT S 02 DEG E 189.97FT N 89 DEG W 83.38FT N 01 DEG W 189.98FT S 89 DEG E 79.70FT TO POB LOT SIZE 486141 SQ FT M/L FAU 30 4014 000 0070,2,,Miami-Dade County,Governmental,
492169,492169,477646,3079010010020,12690 SW 280 ST,,Unincorporated County,33033-0000,111 NW 1 ST STE 310,,,MIAMI,FL,33128-1908,,Miami-Dade County,MIAMI-DADE COUNTY,HOMELESS TRUST,,Governmental,N,,8647,COUNTY : DADE COUNTY,307901001.0,20,20,0,1,20,37517,37517,463188.0,2011,2020,4403430,,,COMMUNITY PARTNERSHIP SOUTH PB 153-66 T-19643 TR B LOT SIZE 10.633 AC M/L FAU 30-7901-000-0160,1,,Miami-Dade County,Governmental,
317633,317633,417622,3040320010170,,,Unincorporated County,33173-0000,3071 SW 38 AVE,,,MIAMI,FL,33146-1520,,Miami-Dade County,MIAMI-DADE COUNTY,WATER AND SEWER,,Governmental,N,,8080,VACANT GOVERNMENTAL : VACANT LAND - GOVERNMENTAL,304032001.0,0,0,0,0,0,0,0,462171.6,0,2020,1801278,,,32 54 40 SUB OF PART OF PB 3-36 PORT OF TRS 22 THRU 25 LYG NELY OF SNAPPER CREEK CANAL & N85FT OF TR 26 F/A/U 30-4032-001-0160,2,,Miami-Dade County,Governmental,
