Ownership,true_owner[123],Owner Categories,dor_code_cur,notes
Religious Organization,CHURCH|&&CHURCH|IGLESIA|&&IGLESIA|MINISTERIO|&&MINISTERIO|7TH DAY|&&7TH DAY|EGLISE|&&EGLISE|BIBLE|&&BIBLE|ST JOHN|CAMP FREEDOM INC|TABERNACLE|&&TABERNACLE|BISHOP|&&BISHOP|REVEREND|&&REVEREND|ISLAM|&&ISLAM|TEMPLE|&&TEMPLE|JESUS|&&JESUS|CHAPEL|&&CHAPEL|CER LLC|COMMUNITY BLDR & CAPITAL DEV INC|LUTHERAN|&&LUTHERAN|NAZARENE|&&NAZARENE|SEVENTH DAY|&&SEVENTH DAY|CHRISTIAN|&&CHRISTIAN|FELLOWSHIP|&&FELLOWSHIP|BAPTIST!HEALTH|&&BAPTIST!HEALTH|JEWISH|&&JEWISH|UPPER ROOM ASSEMBLY INC|METHODIST|&&METHODIST|PEDRO SANTANA & MOISES OBREGON&&GUSTAVO FONSECA|ADVENTIST|&&ADVENTIST|MT CALVARY COMMUNITY CH|MINISTRIES|&&MINISTRIES|PENTECOST|&&PENTECOST|OF FAITH|PRESBYTERIAN|&&PRESBYTERIAN|RIVER AND 16TH PROPERTY LLC|PRESB CH|&&PRESB CH|WORSHIP|&&WORSHIP|ASSEMBLY OF GOD|&&ASSEMBLY OF GOD|BUDDH|&&BUDDH|AFR METH EPIS|APOSTOLIC|EVANGELIST|PENCOSTAL|DIOCESE|&&DIOCESE|BAPT CH|&&BAPT CH|OF CHRIST|&&OF CHRIST|GREEK ORT|&&GREEK ORT|OF GOD|&&OF GOD|IN CHRIST|&&IN CHRIST|REVIVAL|MISSIONARY|GOSPEL|&&GOSPEL|&&MISSIONARY|CONGREGATION|&&CONGREGATION|MENNONITE|HEBREW|BAP CH|EVANGELICAL|&&EVANGELICAL|FOR CHRIST|&&FOR CHRIST|JEHOVAH|&&JEHOVAH|CROWN OF THORNS|RESURRECCION|EVANGELICA|SEVENTH-DAY|THE LORDS HOUSE|EVANGELIQUE|NEW REVELATION|7-DAY ADV|MUSLIM|MINISTRY|7-DAY ADV|UNITED METH CH|LEHRMAN COMMUNITY DAY SCHOOL|LOUIS M ALEXIS & VEONEL GUERRIER & KELLY LEVASSEUR,Institutional,7144,how was this originally done?
S FL Water Mgmt.,WATER MANAGEMENT,Governmental,,
School Board,SCHOOL BOARD|BOARD OF PUBLIC|BOARD OF MIAMI DADE COUNTY,Governmental,,
St. Thomas University,ST THOMAS UNIVERSITY,Institutional,,
State of Florida,STATE OF FL|I FUND|TIITF|DEPARTMENT OF|SOUTH FLORIDA REGIONAL|INTERNAL IMP FUND ST OF FLA TR|DOT/TURNPIKE DISTRICT|DEPT OF TRANS STATE OF FLA|ST RD - DEPT OF TRANSPORTATION,Governmental,,
Town of Bay Harbor Islands,BAY HARBOR ISLAND,Governmental,,
Town of Cutler Bay,TOWN OF CUTLER BAY,Governmental,,
Town of Golden Beach,TOWN OF GOLDEN BEACH,Governmental,,
Town of Medley,TOWN OF MEDLEY,Governmental,,
Town of Miami Lakes,TOWN OF MIAMI LAKES,Governmental,,
Town of Surfside,TOWN OF SURFSIDE,Governmental,,
Universal Truth Center for Better Living,UNIVERSAL TRUTH CENTER,Institutional,,
University of Miami,UNIVERSITY OF MIAMI|UNIVERISTY OF MIAMI,Institutional,,
Village of Biscayne Park,VILLAGE OF BIS,Governmental,,
Village of Key Biscayne,VILLAGE OF KEY BISCAYNE,Governmental,,
Village of Miami Shores,MIAMI SHORES VILLAGE,Governmental,,
Village of Pinecrest,VILLAGE OF PINECREST,Governmental,,
Village of Virginia Gardens,VILLAGE OF VIRGINIA GARDENS,Governmental,,
